"","src_subject_id","eventname","reshist_addr1_svi_tot_20142018"
"314","NDAR_INV0UL9YFZJ","baseline_year_1_arm_1",0.8893
"315","NDAR_INV0X4A2LKW","baseline_year_1_arm_1",0.5474
"316","NDAR_INV0X59EG8X","baseline_year_1_arm_1",0.8409
"317","NDAR_INV109GUWFN","baseline_year_1_arm_1",0.0385
"318","NDAR_INV10DN9UHY","baseline_year_1_arm_1",0.5517
"319","NDAR_INV11V7NWED","baseline_year_1_arm_1",0.9244
"320","NDAR_INV11ZVVFHK","baseline_year_1_arm_1",NA
"321","NDAR_INV0ULZKXXG","baseline_year_1_arm_1",0.0768
"322","NDAR_INV0XDBADBW","baseline_year_1_arm_1",0.1042
"323","NDAR_INV0XFVW4LF","baseline_year_1_arm_1",0.841
"324","NDAR_INV10EP1VM2","baseline_year_1_arm_1",0.0076
"325","NDAR_INV10F7NTCV","baseline_year_1_arm_1",0.1288
"326","NDAR_INV0PKCP1P3","baseline_year_1_arm_1",0.4498
"327","NDAR_INV0PLKFP06","baseline_year_1_arm_1",0.0404
"328","NDAR_INV0UMM15GY","baseline_year_1_arm_1",0.1035
"329","NDAR_INV0UPRUMA1","baseline_year_1_arm_1",0.0095
"330","NDAR_INV0XH07MZ8","baseline_year_1_arm_1",0.9542
"331","NDAR_INV0XKVPBB0","baseline_year_1_arm_1",0.2933
"332","NDAR_INV10FDVE0L","baseline_year_1_arm_1",0.1194
"333","NDAR_INV10HWA6YU","baseline_year_1_arm_1",0.0515
"334","NDAR_INV0PR0WY8F","baseline_year_1_arm_1",0.6772
"335","NDAR_INV0PRHUTZA","baseline_year_1_arm_1",0.0056
"336","NDAR_INV0UPVEC1J","baseline_year_1_arm_1",0.2441
"337","NDAR_INV0UV5WZUN","baseline_year_1_arm_1",0.1377
"338","NDAR_INV0XM20K74","baseline_year_1_arm_1",0.1506
"339","NDAR_INV0XTAYD1B","baseline_year_1_arm_1",0.5964
"340","NDAR_INV0XTVAGV2","baseline_year_1_arm_1",0.8968
"341","NDAR_INV10J5M8LB","baseline_year_1_arm_1",0.1243
"342","NDAR_INV10K9CVX2","baseline_year_1_arm_1",0.6184
"343","NDAR_INV10KHJFTG","baseline_year_1_arm_1",NA
"344","NDAR_INV0PU19T4K","baseline_year_1_arm_1",0.3035
"345","NDAR_INV0PW5A9P1","baseline_year_1_arm_1",0.9207
"346","NDAR_INV0UWD26VV","baseline_year_1_arm_1",0.8742
"347","NDAR_INV0UYDV4HJ","baseline_year_1_arm_1",0.206
"348","NDAR_INV0XU7Z6RH","baseline_year_1_arm_1",0.8173
"349","NDAR_INV0XVGNCYR","baseline_year_1_arm_1",0.276
"350","NDAR_INV10KWCWVG","baseline_year_1_arm_1",0.0154
"351","NDAR_INV10KXDDBK","baseline_year_1_arm_1",0.7228
"352","NDAR_INV10MWD99M","baseline_year_1_arm_1",0.8174
"353","NDAR_INV0R5220TJ","baseline_year_1_arm_1",0.0842
"354","NDAR_INV0R696YJR","baseline_year_1_arm_1",NA
"355","NDAR_INV0RA4PBPV","baseline_year_1_arm_1",0.1212
"356","NDAR_INV0V139J8T","baseline_year_1_arm_1",0.2266
"357","NDAR_INV0V1TYBKE","baseline_year_1_arm_1",0.4227
"358","NDAR_INV0Y2153YG","baseline_year_1_arm_1",0.6999
"359","NDAR_INV0Y712XLV","baseline_year_1_arm_1",0.2393
"360","NDAR_INV10RNF3BK","baseline_year_1_arm_1",0.919
"361","NDAR_INV10T1UELH","baseline_year_1_arm_1",0.0844
"362","NDAR_INV0RB5CTN0","baseline_year_1_arm_1",0.3114
"363","NDAR_INV0RG4KBRB","baseline_year_1_arm_1",0.2902
"364","NDAR_INV0V80916L","baseline_year_1_arm_1",0.0972
"365","NDAR_INV0V9W14U5","baseline_year_1_arm_1",0.9256
"366","NDAR_INV0VBJ9TP2","baseline_year_1_arm_1",0.2298
"367","NDAR_INV0Y8YJ2UR","baseline_year_1_arm_1",0.0877
"368","NDAR_INV0Y9F2PL1","baseline_year_1_arm_1",0.3395
"369","NDAR_INV0Y9GR364","baseline_year_1_arm_1",0.3025
"370","NDAR_INV10TEADFM","baseline_year_1_arm_1",0.9724
"371","NDAR_INV10ZLTFJZ","baseline_year_1_arm_1",0.6388
"372","NDAR_INV0RHDH1EL","baseline_year_1_arm_1",0.1196
"373","NDAR_INV0RHLKA9M","baseline_year_1_arm_1",0.9102
"374","NDAR_INV0VF0JVNL","baseline_year_1_arm_1",0.3132
"375","NDAR_INV0VJZ6NZY","baseline_year_1_arm_1",0.0299
"376","NDAR_INV19P33RVR","baseline_year_1_arm_1",0.9763
"377","NDAR_INV19UPJ1X0","baseline_year_1_arm_1",0.4709
"378","NDAR_INV0ML93ZXT","baseline_year_1_arm_1",0.6076
"379","NDAR_INV0MPBK7TU","baseline_year_1_arm_1",0.2004
"380","NDAR_INV13E5D9V1","baseline_year_1_arm_1",0.5648
"381","NDAR_INV13FP25D3","baseline_year_1_arm_1",0.2401
"382","NDAR_INV1680LJ8D","baseline_year_1_arm_1",0.3783
